// 中医药典
阿胶	e'jiao
荆芥穗炭	jing'jie'sui'tan
荆芥炭	jing'jie'tan
京大戟	jing'da'ji
九味石灰华散	jiu'wei'shi'hui'hua'san
九香虫	jiu'xiang'chong
菊苣	ju'ju
卷柏	juan'bai
抗感颗粒	kang'gan'ke'li
苦参	ku'shen
苦地丁	ku'di'ding
苦木	ku'mu
苦杏仁	ku'xing'ren
苦楝皮	ku'lian'pi
乐脉颗粒	le'mai'ke'li
荔枝核	li'zhi'he
利胆排石片	li'dan'pai'shi'pian
利咽解毒颗粒	li'yan'jie'du'ke'li
连翘提取物	lian'qiao'ti'qu'wu
羚羊感冒片	ling'yang'gan'mao'pian
羚羊角	ling'yang'jiao
羚羊角胶囊	ling'yang'jiao'jiao'nang
六合定中丸	liu'he'ding'zhong'wan
六味安消散	liu'wei'an'xiao'san
六味地黄丸	liu'wei'di'huang'wan
六味木香散	liu'wei'mu'xiang'san
六一散	liu'yi'san
六应丸	lu'ying'wan
大蜜丸	da'mi'wan
炉甘石	lu'gan'shi
鹿角	lu'jiao
鹿角胶	lu'jiao'jiao
鹿角霜	lu'jiao'shuang
鹿角胶	lu'jiao'jiao
鹿角	lu'jiao
鹿角霜	lu'jiao'shuang
罗布麻叶	luo'bu'ma'ye
络石藤	luo'shi'teng
麦味地黄丸	mai'wei'di'huang'wan
满山红	man'shan'hong
满山红油	man'shan'hong'you
满山红油胶丸	man'shan'hong'you'jiao'wan
蔓荆子	man'jing'zi
猫爪草	mao'zhao'cao
梅花点舌丸	mei'hua'dian'she'wan
绵萆解	mian'bi'xie
明党参	ming'dang'shen
明目地黄丸	ming'mu'di'huang'wan
牡荆叶	mu'jing'ye
母丁香	mu'ding'xiang
木香槟榔丸	mu'xiang'bing'lang'wan
南板蓝根	nan'ban'lang'en
南鹤虱	nan'he'shi
南沙参	nan'sha'shen
脑得生片	nao'de'sheng'pian
脑得生丸	nao'de'sheng'wan
脑乐静	nao'le'jing
牛黄降压胶囊	niu'huang'jiang'ya'jiao'nang
牛黄降压丸	niu'huang'jiang'ya'wan
牛黄解毒片	niu'huang'jie'du'pian
牛黄解毒丸	niu'huang'jie'du'wan
排石颗粒	pai'shi'ke'li
胖大海	pang'da'hai
炮姜	pao'jiang
平肝舒络丸	ping'gan'shu'luo'wan
七味都气丸	qi'wei'du'qi'wan
七味广枣丸	qi'wei'guang'zao'wan
