阿胶	e'jiao
苏木	su'mu
酸枣仁	suan'zao'ren
锁阳	suo'yang
锁阳固精丸	suo'yang'gu'jing'wan
太子参	tai'zi'shen
檀香	tan'xiang
桃仁	tao'ren
体外培育牛黄	ti'wai'pei'yu'niu'huang
天冬	tian'dong
天花粉	tian'hua'fen
天葵子	tian'kui'zi
天麻	tian'ma
天麻首乌片	tian'ma'shou'wu'pian
天麻丸	tian'ma'wan
天南星	tian'nan'xing
天然冰片	tian'ran'bing'pian
右旋龙脑	you'xuan'long'nao
天山雪莲	tian'shan'xue'lian
天王补心丸	tian'wang'bu'xin'wan
天仙藤	tian'xian'teng
天仙子	tian'xian'zi
天竺黄	tian'zhu'huang
通草	tong'cao
通关散	tong'guan'san
通窍鼻炎片	tong'qiao'bi'yan'pian
通天口服液	tong'tian'kou'fu'ye
通心络胶囊	tong'xin'luo'jiao'nang
通宣理肺丸	tong'xuan'li'fei'wan
痛经宝颗粒	tong'jing'bao'ke'li
痛经丸	tong'jing'wan
土贝母	tu'bei'mu
土荆皮	tu'jing'pi
土木香	tu'mu'xiang
土茯苓	tu'fu'ling
瓦楞子	wa'leng'zi
瓦松	wa'song
万氏牛黄清心丸	wan'shi'niu'huang'qing'xin'wan
万通炎康片	wan'tong'yan'kang'pian
万应锭	wan'ying'ding
万应胶囊	wan'ying'jiao'nang
王不留行	wang'bu'liu'xing
威灵仙	wei'ling'xian
委陵菜	wei'ling'cai
胃肠安丸	wei'chang'an'wan
胃康灵胶囊	wei'kang'ling'jiao'nang
胃舒宁颗粒	wei'shu'ning'ke'li
乌贝散	wu'bei'san
乌鸡白凤丸	wu'ji'bai'feng'wan
乌灵胶囊	wu'ling'jiao'nang
乌灵菌粉	wu'ling'jun'fen
乌梅	wu'mei
乌梢蛇	wu'shao'she
乌药	wu'yao
吴茱萸	wu'zhu'yu
五倍子	wu'bei'zi
五福化毒丸	wu'fu'hua'du'wan
五虎散	wu'hu'san
五加皮	wu'jia'pi
五味清浊散	wu'wei'qing'zhuo'san
五味沙棘散	wu'wei'sha'ji'san
五味子	wu'wei'zi
五味麝香丸	wu'wei'she'xiang'wan
五子衍宗丸	wu'zi'yan'zong'wan
五苓散	wu'ling'san
午时茶颗粒	wu'shi'cha'ke'li
戊己丸	wu'ji'wan
西瓜霜	xi'gua'shuang
西河柳	xi'he'liu
西红花	xi'hong'hua
西洋参	xi'yang'shen
细辛	xi'xin
夏枯草	xia'ku'cao
夏枯草膏	xia'ku'cao'gao
夏天无	xia'tian'wu
夏天无片	xia'tian'wu'pian
仙茅	xian'mao
香附	xiang'fu
香附丸	xiang'fu'wan
香附丸	xiang'fu'wan
香果脂	xiang'guo'zhi
香加皮	xiang'jia'pi
香连片	xiang'lian'pian
香连丸	xiang'lian'wan
香砂六君丸	xiang'sha'liu'jun'wan
香砂养胃丸	xiang'sha'yang'wei'wan
香砂枳术丸	xiang'sha'zhi'zhu'wan
香苏正胃丸	xiang'su'zheng'wei'wan
香薷	xiang'ru
香橼	xiang'yuan
消咳喘糖浆	xiao'ke'chuan'tang'jiang
消咳喘糖浆	xiao'ke'chuan'tang'jiang
消渴灵片	xiao'ke'ling'pian
消糜栓	xiao'mi'shuan
消食退热糖浆	xiao'shi'tui're'tang'jiang
消栓通络胶囊	xiao'shuan'tong'luo'jiao'nang
消栓通络片	xiao'shuan'tong'luo'pian
消银片	xiao'yin'pian
消瘿丸	xiao'ying'wan
小柴胡颗粒	xiao'chai'hu'ke'li
小柴胡片	xiao'chai'hu'pian
小儿百部止咳糖浆	xiao'er'bai'bu'zhi'ke'tang'jiang
小儿肺热咳喘口服液	xiao'er'fei're'ke'chuan'kou'fu'ye
小儿腹泻宁糖浆	xiao'er'fu'xie'ning
小儿腹泻外敷散	xiao'er'fu'xie'wai'fu'san
小儿肝炎颗粒	xiao'er'gan'yan'ke'li
小儿感冒颗粒	xiao'er'gan'mao'ke'li
小儿化毒散	xiao'er'hua'du'san
小儿化食丸	xiao'er'hua'shi'wan
小儿解表颗粒	xiao'er'jie'biao'ke'li
小儿金丹片	xiao'er'jin'dan'pian
小儿惊风散	xiao'er'jing'feng'san
小儿清热片	xiao'er'qing're'pian
小儿清热止咳口服液	xiao'er'qing're'zhi'ke'kou'fu'ye
小儿热速清口服液	xiao'er're'su'qing'kou'fu'ye
小儿至宝丸	xiao'er'zhi'bao'wan
小活络丸	xiao'huo'luo'wan
小蓟	xiao'ji
小建中合剂	xiao'jian'zhong'he'ji
小金丸	xiao'jin'wan
小青龙合剂	xiao'qing'long'he'ji
小青龙颗粒	xiao'qing'long'ke'li
小通草	xiao'tong'cao
小叶莲	xiao'ye'lian
小茴香	xiao'hui'xiang
辛芩颗粒	xin'qin'ke'li
辛夷	xin'yi
新清宁片	xin'qing'ning'pian
心宁片	xin'ning'pian
心通口服液	xin'tong'kou'fu'ye
杏仁止咳糖浆	xing'ren'zhi'ke'tang'jiang
雄黄	xiong'huang
徐长卿	xu'chang'qing
续断	xu'duan
旋覆花	xuan'fu'hua
玄参	xuan'shen
玄麦甘桔颗粒	xuan'mai'gan'jie'ke'li
玄明粉	xuan'ming'fen
癣湿药水	xuan'shi'yao'shui
鹅掌风药水	e'zhang'feng'yao'shui
血竭	xue'jie
血康口服液	xue'kang'kou'fu'ye
血栓心脉宁胶囊	xue'shuan'xin'mai'ning'jiao'nang
血余炭	xue'yu'tan
血脂灵片	xue'zhi'ling'pian
血脂宁丸	xue'zhi'ning'wan
鸦胆子	ya'dan'zi
鸭跖草	ya'zhi'cao
牙痛一粒丸	ya'tong'yi'li'wan
雅叫哈顿散	ya'jiao'ha'dun'san
亚乎奴	ya'hu'nu
锡生藤	xi'sheng'teng
亚麻子	ya'ma'zi
岩白菜素	yan'bai'cai'su
延胡索	yan'hu'suo
元胡	yuan'hu
羊胆丸	yang'dan'wan
洋参保肺丸	yang'shen'bao'fei'wan
药艾条	yao'ai'tiao
野菊花	ye'ju'hua
野菊花栓	ye'ju'hua'shuan
夜宁糖浆	ye'ning'tang'jiang
一捻金	yi'nian'jin
一清颗粒	yi'qing'ke'li
医痫丸	yi'xian'wan
伊贝母	yi'bei'mu
乙肝宁颗粒	yi'gan'ning'ke'li
益母草	yi'mu'cao
益母草膏	yi'mu'cao'gao
益母草口服液	yi'mu'cao'kou'fu'ye
益母草流浸膏	yi'mu'cao'liu'jing'ao
益气养血口服液	yi'qi'yang'xue'kou'fu'ye
益肾灵颗粒	yi'shen'ling'ke'li
益心通脉颗粒	yi'xin'tong'mai'ke'li
益心酮片	yi'xin'tong'pian
益元散	yi'yuan'san
益智	yi'zhi
茵陈	yin'chen
阴虚胃痛颗粒	yin'xu'wei'tong'ke'li
银柴胡	yin'chai'hu
银黄口服液	yin'huang'kou'fu'ye
银翘解毒胶囊	yin'qiao'jie'du'jiao'nang
银翘解毒颗粒	yin'qiao'jie'du'ke'li
银翘解毒片	yin'qiao'jie'du'pian
银翘解毒丸	yin'qiao'jie'du'wan
银翘双解栓	yin'qiao'shuang'jie'shuan
银杏叶片	yin'xing'ye'pian
银杏叶提取物	yin'xing'ye'ti'qu'wu
淫羊藿	yin'yang'huo
余甘子	yu'gan'zi
驻车丸	zhu'che'wan
壮骨关节丸	zhuang'gu'guan'jie'wan
壮骨伸筋胶囊	zhuang'gu'shen'jin'jiao'nang
滋心阴口服液	zi'xin'yin'kou'fu'ye
紫草	zi'cao
紫草膏	zi'cao'gao
紫河车	zi'he'che
紫花地丁	zi'hua'di'ding
紫金锭	zi'jin'ding
紫石英	zi'shi'ying
紫苏梗	zi'su'geng
紫苏叶	zi'su'ye
紫苏子	zi'su'zi
紫雪	zi'xue
紫菀	zi'wan
自然铜	zi'ran'tong
棕榈	zong'lv
左金胶囊	zuo'jin'jiao'nang
左金丸	zuo'jin'wan
豨莶草	xi'xian'cao
诃子	he'zi
芎菊上清丸	xiong'ju'shang'qing'wan
芫花	yuan'hua
芩暴红止咳片	qin'bao'hong'zhi'ke'pian
芩连片	qin'lian'pian
芡实	qian'shi
苘麻子	qing'ma'zi
荜澄茄	bi'cheng'qie
荜茇	bi'bo
茴香橘核丸	hui'xiang'ju'he'wan
茯苓	fu'ling
茺蔚子	chong'wei'zi
莪术	e'zhu
莪术油	e'zhu'you
莪术油	e'zhu'you
菟丝子	tu'si'zi
葶苈子	ting'li'zi
蒺藜	ji'li
蓼大青叶	liao'da'qing'ye
蕤仁	rui'ren
蕲蛇	qi'she
薤白	xie'bai
薏苡仁	yi'yi'ren
藁本	gao'ben
藿胆丸	huo'dan'wan
藿香正气口服液	huo'xiang'zheng'qi'kou'fu'ye
藿香正气软胶囊	huo'xiang'zheng'qi'ruan'jiao'nang
藿香正气水	huo'xiang'zheng'qi'shui
逍遥丸	xiao'yao'wan
娑罗子	suo'lou'zi
琥珀抱龙丸	hu'po'bao'long'wan
杞菊地黄丸	qi'ju'di'huang'wan
枇杷叶	pi'pa'ye
枇杷叶膏	pi'pa'ye'gao
枳壳	zhi'ke
枳实	zhi'shi
枳实导滞丸	zhi'shi'dao'zhi'wan
枳术丸	zhi'zhu'wan
栀子	zhi'zi
栀子金花丸	zhi'zi'jin'hua'wan
枸骨叶	gou'gu'ye
枸杞子	gou'qi'zi
桉油	an'you
楮实子	chu'shi'zi
楮实子	chu'shi'zi
榧子	fei'zi
槟榔	bing'lang
槟榔四消丸	bing'lang'si'xiao'wan
槲寄生	hu'ji'sheng
橘核	ju'he
橘红	ju'hong
橘红痰咳液	ju'hong'tan'ke'ye
橘红丸	ju'hong'wan
煅石膏	duan'shi'gao
祛风舒筋丸	qu'feng'shu'jin'wan
祛风舒筋丸	qu'feng'shu'jin'wan
礞石滚痰丸	meng'shi'gun'tan'wan
蠲哮片	juan'xiao'pian
蠲哮片	juan'xiao'pian
疳积散	gan'ji'san
痧药	sha'yao
癃清片	long'qing'pian
蜈蚣	wu'gong
蟾酥	chan'su
罂粟壳	ying'su'ke
瞿麦	qu'mai
麝香	she'xiang
麝香	she'xiang
麝香痔疮栓	she'xiang'zhi'chuang'shuan
麝香祛痛搽剂	she'xiang'qu'tong'cha'ji
麝香祛痛气雾剂	she'xiang'qu'tong'qi'wu'ji
黛蛤散	dai'ge'san
干姜	gan'jiang
