阿胶	e'jiao
颠茄片	dian'qie'pian
颠茄酊	dian'qie'ding
调经促孕丸	tiao'jing'cu'yun'wan
跌打活血散	die'da'huo'xue'san
跌打丸	die'da'wan
跌打镇痛膏	die'da'zhen'tong'gao
丁公藤	ding'gong'teng
丁香	ding'xiang
丁香罗勒油	ding'xiang'luo'le'you
定坤丹	ding'kun'dan
冬虫夏草	dong'chong'xia'cao
冬瓜皮	dong'gua'pi
冬葵果	dong'kui'guo
豆蔻	dou'kou
独活	du'huo
独一味	du'yi'wei
独一味胶囊	du'yi'wei'jiao'nang
杜仲	du'zhong
杜仲叶	du'zhong'ye
断血流	duan'xue'liu
断血流颗粒	duan'xue'liu'ke'li
断血流片	duan'xue'liu'pian
鹅不食草	e'bu'shi'cao
儿茶	er'cha
儿童清肺丸	er'tong'qing'fei'wan
耳聋左慈丸	er'long'zuo'ci'wan
二陈丸	er'chen'wan
二丁颗粒	er'ding'ke'li
二冬膏	er'dong'gao
二妙丸	er'miao'wan
二十五味珊瑚丸	er'shi'wu'wei'shan'hu'wan
二十五味松石丸	er'shi'wu'wei'song'shi'wan
二十五味珍珠丸	er'shi'wu'wei'zhen'zhu'wan
二至丸	er'zhi'wan
法半夏	fa'ban'xia
番泻叶	fan'xie'ye
防风	fang'feng
防风通圣丸	fang'feng'tong'sheng'wan
防己	fang'ji
肥儿丸	fei'er'wan
分清五淋丸	fen'qing'wu'lin'wan
粉葛	feng'e
粉萆薢	fen'bi'xie
枫香脂	feng'xiang'zhi
蜂房	feng'fang
蜂胶	feng'jiao
蜂蜡	feng'la
蜂蜜	feng'mi
风寒咳嗽颗粒	feng'han'ke'sou'ke'li
风湿骨痛胶囊	feng'shi'gu'tong'jiao'nang
风湿马钱片	feng'shi'ma'qian'pian
冯了性风湿跌打药酒	feng'liao'xing'feng'shi'die'da'yao'jiu
佛手	fo'shou
浮萍	fu'ping
覆盆子	fu'pen'zi
复方川贝精片	fu'fang'chuan'bei'jing'pian
复方醋酸地塞米松乳膏	fu'fang'cu'suan'di'sai'mi'song'ru'gao
复方丹参滴丸	fu'fang'dan'shen'di'wan
复方丹参片	fu'fang'dan'shen'pian
复方扶芳藤合剂	fu'fang'fu'fang'teng'he'ji
复方瓜子金颗粒	fu'fang'gua'zi'jin'ke'li
复方黄连素片	fu'fang'huang'lian'su'pian
复方鸡血藤膏	fu'fang'ji'xue'teng'gao
复方牵正膏	fu'fang'qian'zheng'gao
复方仙鹤草肠炎胶囊	fu'fang'xian'he'cao'chang'yan'jiao'nang
复方鲜竹沥液	fu'fang'xian'zhu'li'ye
复方皂矾丸	fu'fang'zao'fan'wan
复合胆红素钙	fu'he'dan'hong'su'gai
附子	fu'zi
附子理中丸	fu'zi'li'zhong'wan
妇宝颗粒	fu'bao'ke'li
妇科调经片	fu'ke'tiao'jing'pian
妇科分清丸	fu'ke'fen'qing'wan
妇科千金片	fu'ke'qian'jin'pian
妇科十味片	fu'ke'shi'wei'pian
妇科通经丸	fu'ke'tong'jing'wan
妇炎净胶囊	fu'yan'jing'jiao'nang
干漆	gan'qi
甘草	gan'cao
甘草浸膏	gan'cao'jing'ao
甘草流浸膏	gan'cao'liu'jing'ao
甘松	gan'song
甘遂	gan'sui
感冒清热颗粒	gan'mao'qing're'ke'li
感冒舒颗粒	gan'mao'shu'ke'li
感冒退热颗粒	gan'mao'tui're'ke'li
高良姜	gao'liang'jiang
葛根	ge'gen
葛根芩连片	ge'gen'qin'lian'pian
葛根芩连丸	ge'gen'qin'lian'wan
葛根芩连微丸	ge'gen'qin'lian'wei'wan
蛤壳	ge'ke
蛤蚧	ge'jie
蛤蚧定喘丸	ge'jie'ding'chuan'wan
根痛平颗粒	gen'tong'ping'ke'li
更年安片	geng'nian'an'pian
功劳木	gong'lao'mu
功劳去火片	gong'lao'qu'huo'pian
宫血宁胶囊	gong'xue'ning'jiao'nang
钩藤	gou'teng
狗脊	gou'ji
狗皮膏	gou'pi'gao
骨刺消痛片	gu'ci'xiao'tong'pian
骨碎补	gu'sui'bu
谷精草	gu'jing'cao
谷芽	gu'ya
固本咳喘片	gu'ben'ke'chuan'pian
固经丸	gu'jing'wan
瓜蒌	gua'lou
瓜蒌皮	gua'lou'pi
瓜蒌子	gua'lou'zi
关黄柏	guan'huang'bo
冠心丹参胶囊	guan'xin'dan'shen'jiao'nang
冠心丹参片	guan'xin'dan'shen'pian
冠心苏合丸	guan'xin'su'he'wan
贯叶金丝桃	guan'ye'jin'si'tao
广金钱草	guang'jin'qian'cao
广枣	guang'zao
广藿香	guang'huo'xiang
广藿香油	guang'huo'xiang'you
归脾丸	gui'pi'wan
归芍地黄丸	gui'shao'di'huang'wan
龟甲	gui'jia
龟甲胶	gui'jia'jiao
龟龄集	gui'ling'ji
龟鹿补肾丸	gui'lu'bu'shen'wan
桂附地黄丸	gui'fu'di'huang'wan
桂附理中丸	gui'fu'li'zhong'wan
桂林西瓜霜	gui'lin'xi'gua'shuang
桂龙咳喘宁胶囊	gui'long'ke'chuan'ning'jiao'nang
桂枝	gui'zhi
桂枝茯苓胶囊	gui'zhi'fu'ling'jiao'nang
桂枝茯苓丸	gui'zhi'fu'ling'wan
国公酒	guo'gong'jiu
哈蟆油	ha'ma'you
海风藤	hai'feng'teng
海金沙	hai'jin'sha
海龙	hai'long
海马	hai'ma
海藻	hai'zao
海螵蛸	hai'piao'xiao
荷丹片	he'dan'pian
荷叶	he'ye
荷叶丸	he'ye'wan
核桃仁	he'tao'ren
何首乌	he'shou'wu
合欢花	he'huan'hua
合欢皮	he'huan'pi
河车大造丸	he'che'da'zao'wan
鹤虱	he'shi
黑芝麻	hei'zhi'ma
黑种草子	hei'zhong'cao'zi
红参	hong'shen
红大戟	hong'da'ji
红豆蔻	hong'dou'kou
红粉	hong'fen
红花	hong'hua
红景天	hong'jing'tian
红灵散	hong'ling'san
红药贴膏	hong'yao'tie'gao
红芪	hong'qi
猴头健胃灵胶囊	hou'tou'jian'wei'ling'jiao'nang
厚朴	hou'po
厚朴花	hou'po'hua
胡蜂酒	hu'feng'jiu
胡黄连	hu'huang'lian
胡椒	hu'jiao
胡芦巴	hu'lu'ba
湖北贝母	hu'bei'bei'mu
虎杖	hu'zhang
护肝片	hu'gan'pian
花椒	hua'jiao
花蕊石	hua'rui'shi
华山参	hua'shan'shen
华山参片	hua'shan'shen'pian
华佗再造丸	hua'tuo'zai'zao'wan
滑石	hua'shi
滑石粉	hua'shi'fen
化症回生片	hua'zheng'hui'sheng'pian
化积口服液	hua'ji'kou'fu'ye
化痔栓	hua'zhi'shuan
化橘红	hua'ju'hong
槐花	huai'hua
槐角	huai'jiao
槐角丸	huai'jiao'wan
环维黄杨星D	huan'wei'huang'yang'xing'd
黄柏	huang'bo
黄精	huang'jing
黄连	huang'lian
黄连上清丸	huang'lian'shang'qing'wan
黄连羊肝丸	huang'lian'yang'gan'wan
黄氏响声丸	huang'shi'xiang'sheng'wan
黄藤	huang'teng
黄杨宁片	huang'yang'ning'pian
黄芩	huang'qin
黄芩提取物	huang'qin'ti'qu'wu
黄芪	huang'qi
活血止痛散	huo'xue'zhi'tong'san
火麻仁	huo'ma'ren
积雪草	ji'xue'cao
鸡骨草	ji'gu'cao
鸡冠花	ji'guan'hua
鸡内金	jin'ei'jin
鸡血藤	ji'xue'teng
急性子	ji'xing'zi
急支糖浆	ji'zhi'tang'jiang
济生肾气丸	ji'sheng'shen'qi'wan
